Index, Weight,Height
1,112.9925,65.78331
2,136.4873,71.51521
3,153.0269,69.39874
4,142.3354,68.2166
5,144.2971,67.78781
6,123.3024,68.69784
7,141.4947,69.80204
8,136.4623,70.01472
9,112.3723,67.90265
10,120.6672,66.78236
11,127.4516,66.48769
12,114.143,67.62333
13,125.6107,68.30248
14,122.4618,67.11656
15,116.0866,68.27967
16,139.9975,71.0916
17,129.5023,66.461
18,142.9733,68.64927
19,137.9025,71.23033
20,124.0449,67.13118
21,141.2807,67.83379
22,143.5392,68.87881
23,97.90191,63.48115
24,129.5027,68.42187
25,141.8501,67.62804
26,129.7244,67.20864
27,142.4235,70.84235
28,131.5502,67.49434
29,108.3324,66.53401
30,113.8922,65.44098
31,103.3016,69.5233
32,120.7536,65.8132
33,125.7886,67.8163
34,136.2225,70.59505
35,140.1015,71.80484
36,128.7487,69.20613
37,141.7994,66.80368
38,121.2319,67.65893
39,131.3478,67.80701
40,106.7115,64.04535
41,124.3598,68.57463
42,124.8591,65.18357
43,139.6711,69.65814
44,137.3696,67.96731
45,106.4499,65.98088
46,128.7639,68.67249
47,145.6837,66.88088
48,116.819,67.69868
49,143.6215,69.82117
50,134.9325,69.08817
51,147.0219,69.91479
52,126.3285,67.33182
53,125.4839,70.26939
54,115.7084,69.10344
55,123.4892,65.38356
56,147.8926,70.18447
57,155.8987,70.40617
58,128.0742,66.54376
59,119.3701,66.36418
60,133.8148,67.537
61,128.7325,66.50418
62,137.5453,68.99958
63,129.7604,68.30355
64,128.824,67.01255
65,135.3165,70.80592
66,109.6113,68.21951
67,142.4684,69.05914
68,132.749,67.73103
69,103.5275,67.21568
70,124.7299,67.36763
71,129.3137,65.27033
72,134.0175,70.84278
73,140.3969,69.92442
74,102.8351,64.28508
75,128.5214,68.2452
76,120.2991,66.35708
77,138.6036,68.36275
78,132.9574,65.4769
79,115.6233,69.71947
80,122.524,67.72554
81,134.6254,68.63941
82,121.8986,66.78405
83,155.3767,70.05147
84,128.9418,66.27848
85,129.1013,69.20198
86,139.4733,69.13481
87,140.8901,67.36436
88,131.5916,70.09297
89,121.1232,70.1766
90,131.5127,68.22556
91,136.5479,68.12932
92,141.4896,70.24256
93,140.6104,71.48752
94,112.1413,69.20477
95,133.457,70.06306
96,131.8001,70.55703
97,120.0285,66.28644
98,123.0972,63.42577
99,128.1432,66.76711
100,115.4759,68.88741
101,102.0927,64.87434
102,130.353,67.09272
103,134.1842,68.34761
104,98.64133,65.61073
105,114.5599,67.75551
106,123.4917,68.0212
107,123.048,67.66193
108,126.4772,66.3146
109,128.417,69.43706
110,127.1941,63.83624
111,122.0562,67.72277
112,127.6064,70.05098
113,131.6423,70.18602
114,111.8955,65.94588
115,122.039,70.007
116,128.5547,68.61129
117,132.6792,68.80817
118,136.0632,69.76212
119,115.9403,65.45539
120,136.9041,68.82534
121,119.8804,65.8003
122,109.0055,67.21474
123,128.2705,69.42021
124,135.2913,68.94396
125,106.8558,67.9415
126,123.2939,65.62506
127,109.5143,66.49607
128,119.3087,67.92809
129,140.2402,68.89415
130,133.9841,70.241
